,Date,Country,Area,Location,Activity,Age,Time,Species,Month,Fatal,Sex
1832,05-Sep-2002,USA,Florida,"Daytona Beach Shores, Volusia County",non representative,36,Unkown,1' to 2' hammerhead or bonnethed shark,September,N,M
1833,28-Aug-2002,USA,Hawaii,"Kewalo Basin Channel, O'ahu",surfing,16,Unkown,"Tiger shark, 2.4 m to 3 m [8' to 10'] ",August,N,M
1834,17-Aug-2002,USA,Alabama,"Gulf of Mexico, 65 miles offshore from Mobile",swimming,29,evening,White shark,August,N,F
1835,14-Aug-2002,USA,Florida,"New Smyrna Beach, Volusia County",surfing,27,Unkown,0.9 m  to 1.2 m [3' to 4'] shark,August,N,M
1836,11-Aug-2002,USA,Florida,"Vero Beach, Indian River County",surfing,15,afternoon,"Nurse shark, 1.5 m [5'] ",August,N,M
1837,07-Aug-2002,USA,Florida,"Ponce De Leon Inlet, Volusia County",walking,15,afternoon,White shark,August,N,M
1838,Reported 06-Aug-2002,UNITED KINGDOM,Cheshire,"Blue Planet Aquarium, Ellesmere Port",non representative,30,Unkown,"Sandtiger shark, 3 m [10'] ",August,N,M
1839,05-Aug-2002,USA,North Carolina,"Topsail Beach, Pender County",walking,14,morning,1.2 m to 1.5 m [4' to 5'] shark,August,N,M
1840,26-Jul-2002,USA,South Carolina,"Myrtle Beach, Horry County",surfing,13,evening,1.2 m [4'] blacktip or sandbar shark,July,N,M
1841,20-Jul-2002,USA,North Carolina,"Emerald Isle, Carteret County",swimming,15,evening,"Bull shark, 1.8 m to 2.1 m [6' to 7'] ",July,N,F
1842,10-Jul-2002,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",surfing,19,Unkown,White shark,July,N,M
